caseid,altid,casenum,altnum,chose,ivtt,ovtt,tottime,totcost,hhid,perid,numalts,dist,wkzone,hmzone,rspopden,rsempden,wkpopden,wkempden,vehavdum,femdum,age,drlicdum,noncadum,numveh,hhsize,hhinc,famtype,hhowndum,numemphh,numadlt,nmlt5,nm5to11,nm12to16,wkccbd,wknccbd,corredis,vehbywrk,vocc,wgt
3,3,3,3,0,15.6,6,21.6,10.79,5,1,2,4.1,696,667,85.35,105.93,29.45,22.42,1,1,28,1,1,1,5,12.5,12,0,3,3,2,0,0,0,1,0,0.33,1,1
3,4,3,4,0,16.87,21.4,38.27,105,5,1,2,4.1,696,667,85.35,105.93,29.45,22.42,1,1,28,1,1,1,5,12.5,12,0,3,3,2,0,0,0,1,0,0.33,1,1
4,1,4,1,0,30.6,8.5,39.1,417.32,6,1,2,14.58,665,8,32.31,25.61,0,395.34,1,1,34,1,1,2,3,55,3,1,2,2,1,0,0,1,0,0,1,0,1
4,2,4,2,0,35.7,8.5,44.2,208.66,6,1,2,14.58,665,8,32.31,25.61,0,395.34,1,1,34,1,1,2,3,55,3,1,2,2,1,0,0,1,0,0,1,0,1
4,3,4,3,0,22.7,8.5,31.2,105.54,6,1,2,14.58,665,8,32.31,25.61,0,395.34,1,1,34,1,1,2,3,55,3,1,2,2,1,0,0,1,0,0,1,0,1
4,4,4,4,1,24.27,9,33.27,193.49,6,1,2,14.58,665,8,32.31,25.61,0,395.34,1,1,34,1,1,2,3,55,3,1,2,2,1,0,0,1,0,0,1,0,1
5,2,5,2,1,23.04,3,26.04,29.95,8,2,2,6.29,679,704,33.04,106.52,89.24,5.77,0,1,43,0,1,0,3,87.5,6,1,3,3,0,0,0,0,1,0,0,2,1
5,3,5,3,0,25.04,3,28.04,17.12,8,2,2,6.29,679,704,33.04,106.52,89.24,5.77,0,1,43,0,1,0,3,87.5,6,1,3,3,0,0,0,0,1,0,0,2,1
5,4,5,4,0,25.04,23.5,48.54,100,8,2,2,6.29,679,704,33.04,106.52,89.24,5.77,0,1,43,0,1,0,3,87.5,6,1,3,3,0,0,0,0,1,0,0,2,1
5,5,5,5,0,34.35,3,37.35,0,8,2,2,6.29,679,704,33.04,106.52,89.24,5.77,0,1,43,0,1,0,3,87.5,6,1,3,3,0,0,0,0,1,0,0,2,1
6,2,6,2,0,11.14,3.5,14.64,14,8,3,2,2.83,679,665,33.04,106.52,32.31,25.61,0,1,18,0,1,0,3,87.5,6,1,3,3,0,0,0,0,1,0,0,0,1
6,3,6,3,0,13.14,3.5,16.64,8,8,3,2,2.83,679,665,33.04,106.52,32.31,25.61,0,1,18,0,1,0,3,87.5,6,1,3,3,0,0,0,0,1,0,0,0,1
6,4,6,4,1,3.95,16.24,20.19,100,8,3,2,2.83,679,665,33.04,106.52,32.31,25.61,0,1,18,0,1,0,3,87.5,6,1,3,3,0,0,0,0,1,0,0,0,1
6,5,6,5,0,16.05,3.5,19.55,0,8,3,2,2.83,679,665,33.04,106.52,32.31,25.61,0,1,18,0,1,0,3,87.5,6,1,3,3,0,0,0,0,1,0,0,0,1
6,6,6,6,0,0,0,60.1,0,8,3,2,2.83,679,665,33.04,106.52,32.31,25.61,0,1,18,0,1,0,3,87.5,6,1,3,3,0,0,0,0,1,0,0,0,1
7,1,7,1,1,8.8,3,11.8,31.65,12,2,2,3.44,667,682,29.45,22.42,6.57,8.83,1,0,43,1,1,2,2,12.5,8,0,2,2,0,0,0,0,1,0,1,1,1
7,2,7,2,0,13.8,3,16.8,15.83,12,2,2,3.44,667,682,29.45,22.42,6.57,8.83,1,0,43,1,1,2,2,12.5,8,0,2,2,0,0,0,0,1,0,1,1,1
7,3,7,3,0,15.8,3,18.8,9.04,12,2,2,3.44,667,682,29.45,22.42,6.57,8.83,1,0,43,1,1,2,2,12.5,8,0,2,2,0,0,0,0,1,0,1,1,1
7,4,7,4,0,13.84,56.04,69.88,100,12,2,2,3.44,667,682,29.45,22.42,6.57,8.83,1,0,43,1,1,2,2,12.5,8,0,2,2,0,0,0,0,1,0,1,1,1
7,5,7,5,0,18.15,3,21.15,0,12,2,2,3.44,667,682,29.45,22.42,6.57,8.83,1,0,43,1,1,2,2,12.5,8,0,2,2,0,0,0,0,1,0,1,1,1
7,6,7,6,0,0,0,71.8,0,12,2,2,3.44,667,682,29.45,22.42,6.57,8.83,1,0,43,1,1,2,2,12.5,8,0,2,2,0,0,0,0,1,0,1,1,1
8,1,8,1,1,18.44,5.5,23.94,287.81,17,2,2,9.81,660,732,24.79,16.03,42.21,49.65,1,0,41,1,1,2,4,87.5,3,1,2,2,0,1,1,0,0,0,1,1,1
8,2,8,2,0,23.44,5.5,28.94,143.91,17,2,2,9.81,660,732,24.79,16.03,42.21,49.65,1,0,41,1,1,2,4,87.5,3,1,2,2,0,1,1,0,0,0,1,1,1
8,3,8,3,0,25.44,5.5,30.94,82.23,17,2,2,9.81,660,732,24.79,16.03,42.21,49.65,1,0,41,1,1,2,4,87.5,3,1,2,2,0,1,1,0,0,0,1,1,1
8,4,8,4,0,31.27,35.02,66.29,105,17,2,2,9.81,660,732,24.79,16.03,42.21,49.65,1,0,41,1,1,2,4,87.5,3,1,2,2,0,1,1,0,0,0,1,1,1
8,5,8,5,0,50.35,5.5,55.85,0,17,2,2,9.81,660,732,24.79,16.03,42.21,49.65,1,0,41,1,1,2,4,87.5,3,1,2,2,0,1,1,0,0,0,1,1,1
9,1,9,1,1,11.44,2,13.44,62.78,19,1,2,6.82,660,715,24.79,16.03,10.27,8.32,1,1,30,1,1,2,3,55,6,1,1,3,0,0,0,0,1,0,2,1,1
9,2,9,2,0,16.44,2,18.44,31.39,19,1,2,6.82,660,715,24.79,16.03,10.27,8.32,1,1,30,1,1,2,3,55,6,1,1,3,0,0,0,0,1,0,2,1,1
9,3,9,3,0,18.44,2,20.44,17.94,19,1,2,6.82,660,715,24.79,16.03,10.27,8.32,1,1,30,1,1,2,3,55,6,1,1,3,0,0,0,0,1,0,2,1,1
9,4,9,4,0,26.37,34,60.37,127.27,19,1,2,6.82,660,715,24.79,16.03,10.27,8.32,1,1,30,1,1,2,3,55,6,1,1,3,0,0,0,0,1,0,2,1,1
10,1,10,1,1,14.58,6,20.58,100.54,20,1,2,11.17,692,646,38.35,81.69,15.66,17.49,1,1,29,1,1,1,1,32.5,7,0,1,1,0,0,0,0,1,0,1,1,1
10,2,10,2,0,19.58,6,25.58,50.27,20,1,2,11.17,692,646,38.35,81.69,15.66,17.49,1,1,29,1,1,1,1,32.5,7,0,1,1,0,0,0,0,1,0,1,1,1
10,3,10,3,0,21.58,6,27.58,28.73,20,1,2,11.17,692,646,38.35,81.69,15.66,17.49,1,1,29,1,1,1,1,32.5,7,0,1,1,0,0,0,0,1,0,1,1,1
10,4,10,4,0,26.56,23.4,49.96,131.77,20,1,2,11.17,692,646,38.35,81.69,15.66,17.49,1,1,29,1,1,1,1,32.5,7,0,1,1,0,0,0,0,1,0,1,1,1
11,1,11,1,0,28.12,10,38.12,461.13,22,2,2,10.55,697,2,62.2,171.44,105.7,625.58,1,0,19,1,1,1,2,42.5,11,0,2,2,0,0,0,1,0,0,0.5,0,1
11,2,11,2,0,33.12,10,43.12,230.56,22,2,2,10.55,697,2,62.2,171.44,105.7,625.58,1,0,19,1,1,1,2,42.5,11,0,2,2,0,0,0,1,0,0,0.5,0,1
11,3,11,3,0,20.12,10,30.12,118.06,22,2,2,10.55,697,2,62.2,171.44,105.7,625.58,1,0,19,1,1,1,2,42.5,11,0,2,2,0,0,0,1,0,0,0.5,0,1
11,4,11,4,1,17.3,14,31.3,159.45,22,2,2,10.55,697,2,62.2,171.44,105.7,625.58,1,0,19,1,1,1,2,42.5,11,0,2,2,0,0,0,1,0,0,0.5,0,1
11,5,11,5,0,53.4,10,63.4,0,22,2,2,10.55,697,2,62.2,171.44,105.7,625.58,1,0,19,1,1,1,2,42.5,11,0,2,2,0,0,0,1,0,0,0.5,0,1
12,1,12,1,1,11.56,2,13.56,52.06,27,2,2,5.55,623,596,13.77,8.76,25.24,17.05,1,0,60,1,0,5,2,37.5,1,1,1,2,0,0,0,0,0,0,5,1,1
12,2,12,2,0,16.56,2,18.56,26.03,27,2,2,5.55,623,596,13.77,8.76,25.24,17.05,1,0,60,1,0,5,2,37.5,1,1,1,2,0,0,0,0,0,0,5,1,1
12,3,12,3,0,18.56,2,20.56,14.87,27,2,2,5.55,623,596,13.77,8.76,25.24,17.05,1,0,60,1,0,5,2,37.5,1,1,1,2,0,0,0,0,0,0,5,1,1
12,4,12,4,0,20.1,15.5,35.6,124.1,27,2,2,5.55,623,596,13.77,8.76,25.24,17.05,1,0,60,1,0,5,2,37.5,1,1,1,2,0,0,0,0,0,0,5,1,1
13,1,13,1,1,27.64,2,29.64,154.69,29,1,2,16.71,623,705,13.77,8.76,53.07,4.3,1,1,55,1,0,5,6,87.5,12,1,3,4,2,0,0,0,1,0,1.67,1,1
13,2,13,2,0,32.64,2,34.64,77.35,29,1,2,16.71,623,705,13.77,8.76,53.07,4.3,1,1,55,1,0,5,6,87.5,12,1,3,4,2,0,0,0,1,0,1.67,1,1
13,3,13,3,0,34.64,2,36.64,44.2,29,1,2,16.71,623,705,13.77,8.76,53.07,4.3,1,1,55,1,0,5,6,87.5,12,1,3,4,2,0,0,0,1,0,1.67,1,1
13,4,13,4,0,33.19,48.34,81.53,185,29,1,2,16.71,623,705,13.77,8.76,53.07,4.3,1,1,55,1,0,5,6,87.5,12,1,3,4,2,0,0,0,1,0,1.67,1,1
14,1,14,1,1,27.64,2,29.64,154.69,29,2,2,16.71,623,705,13.77,8.76,53.07,4.3,1,0,62,1,0,5,6,87.5,12,1,3,4,2,0,0,0,1,0,1.67,1,1
14,2,14,2,0,32.64,2,34.64,77.35,29,2,2,16.71,623,705,13.77,8.76,53.07,4.3,1,0,62,1,0,5,6,87.5,12,1,3,4,2,0,0,0,1,0,1.67,1,1
14,3,14,3,0,34.64,2,36.64,44.2,29,2,2,16.71,623,705,13.77,8.76,53.07,4.3,1,0,62,1,0,5,6,87.5,12,1,3,4,2,0,0,0,1,0,1.67,1,1
14,4,14,4,0,32.3,27.6,59.9,179.1,29,2,2,16.71,623,705,13.77,8.76,53.07,4.3,1,0,62,1,0,5,6,87.5,12,1,3,4,2,0,0,0,1,0,1.67,1,1
15,1,15,1,1,11.62,2,13.62,63.22,30,2,2,6.96,610,645,17.48,13.07,27.27,7.41,1,1,46,1,0,5,3,112.5,3,1,2,3,0,0,0,0,1,0,2.5,1,1
15,2,15,2,0,16.62,2,18.62,31.61,30,2,2,6.96,610,645,17.48,13.07,27.27,7.41,1,1,46,1,0,5,3,112.5,3,1,2,3,0,0,0,0,1,0,2.5,1,1
15,3,15,3,0,18.62,2,20.62,18.06,30,2,2,6.96,610,645,17.48,13.07,27.27,7.41,1,1,46,1,0,5,3,112.5,3,1,2,3,0,0,0,0,1,0,2.5,1,1
15,4,15,4,0,18.18,20.9,39.08,124.18,30,2,2,6.96,610,645,17.48,13.07,27.27,7.41,1,1,46,1,0,5,3,112.5,3,1,2,3,0,0,0,0,1,0,2.5,1,1
15,5,15,5,0,36.25,2,38.25,0,30,2,2,6.96,610,645,17.48,13.07,27.27,7.41,1,1,46,1,0,5,3,112.5,3,1,2,3,0,0,0,0,1,0,2.5,1,1
16,1,16,1,1,57.04,2,59.04,378.01,31,1,2,42.72,623,362,13.77,8.76,6.29,33.84,1,0,32,1,0,3,3,112.5,10,1,2,3,0,0,0,0,0,0,1.5,1,1
16,2,16,2,0,62.24,2,64.24,189.01,31,1,2,42.72,623,362,13.77,8.76,6.29,33.84,1,0,32,1,0,3,3,112.5,10,1,2,3,0,0,0,0,0,0,1.5,1,1
16,3,16,3,0,64.24,2,66.24,108,31,1,2,42.72,623,362,13.77,8.76,6.29,33.84,1,0,32,1,0,3,3,112.5,10,1,2,3,0,0,0,0,0,0,1.5,1,1
17,1,17,1,0,37.24,2,39.24,276.6,31,2,2,31.19,623,821,13.77,8.76,11.98,27.62,1,0,39,1,1,3,3,112.5,10,1,2,3,0,0,0,0,0,0,1.5,0,1
17,2,17,2,0,42.44,2,44.44,138.3,31,2,2,31.19,623,821,13.77,8.76,11.98,27.62,1,0,39,1,1,3,3,112.5,10,1,2,3,0,0,0,0,0,0,1.5,0,1
17,3,17,3,0,44.44,2,46.44,79.03,31,2,2,31.19,623,821,13.77,8.76,11.98,27.62,1,0,39,1,1,3,3,112.5,10,1,2,3,0,0,0,0,0,0,1.5,0,1
17,4,17,4,1,61.3,34.2,95.5,287.1,31,2,2,31.19,623,821,13.77,8.76,11.98,27.62,1,0,39,1,1,3,3,112.5,10,1,2,3,0,0,0,0,0,0,1.5,0,1
18,1,18,1,0,7.12,2,9.12,28.6,32,1,2,2.84,608,605,15.98,6.97,16.04,20.65,1,0,36,1,0,1,2,12.5,6,1,1,2,0,0,0,0,0,0,1,2,1
18,2,18,2,1,12.12,2,14.12,14.3,32,1,2,2.84,608,605,15.98,6.97,16.04,20.65,1,0,36,1,0,1,2,12.5,6,1,1,2,0,0,0,0,0,0,1,2,1
18,3,18,3,0,14.12,2,16.12,8.17,32,1,2,2.84,608,605,15.98,6.97,16.04,20.65,1,0,36,1,0,1,2,12.5,6,1,1,2,0,0,0,0,0,0,1,2,1
18,4,18,4,0,6.44,21.52,27.96,100,32,1,2,2.84,608,605,15.98,6.97,16.04,20.65,1,0,36,1,0,1,2,12.5,6,1,1,2,0,0,0,0,0,0,1,2,1
18,5,18,5,0,16.4,2,18.4,0,32,1,2,2.84,608,605,15.98,6.97,16.04,20.65,1,0,36,1,0,1,2,12.5,6,1,1,2,0,0,0,0,0,0,1,2,1
18,6,18,6,0,0,0,58.8,0,32,1,2,2.84,608,605,15.98,6.97,16.04,20.65,1,0,36,1,0,1,2,12.5,6,1,1,2,0,0,0,0,0,0,1,2,1
19,1,19,1,1,28.92,2,30.92,146.5,33,2,2,14.98,608,704,15.98,6.97,89.24,5.77,1,1,31,1,0,2,2,17.5,10,0,2,2,0,0,0,0,1,0,1,1,1
19,2,19,2,0,33.92,2,35.92,73.25,33,2,2,14.98,608,704,15.98,6.97,89.24,5.77,1,1,31,1,0,2,2,17.5,10,0,2,2,0,0,0,0,1,0,1,1,1
19,3,19,3,0,35.92,2,37.92,41.86,33,2,2,14.98,608,704,15.98,6.97,89.24,5.77,1,1,31,1,0,2,2,17.5,10,0,2,2,0,0,0,0,1,0,1,1,1
19,4,19,4,0,46.54,43.54,90.08,175,33,2,2,14.98,608,704,15.98,6.97,89.24,5.77,1,1,31,1,0,2,2,17.5,10,0,2,2,0,0,0,0,1,0,1,1,1
20,1,20,1,1,19.24,2,21.24,126.96,35,1,2,14.08,607,529,14.42,6.07,13.91,15.15,1,1,64,1,0,3,3,37.5,13,1,2,3,0,0,0,0,0,0,1.5,1,1
20,2,20,2,0,24.24,2,26.24,63.48,35,1,2,14.08,607,529,14.42,6.07,13.91,15.15,1,1,64,1,0,3,3,37.5,13,1,2,3,0,0,0,0,0,0,1.5,1,1
20,3,20,3,0,26.24,2,28.24,36.28,35,1,2,14.08,607,529,14.42,6.07,13.91,15.15,1,1,64,1,0,3,3,37.5,13,1,2,3,0,0,0,0,0,0,1.5,1,1
20,4,20,4,0,50.83,53.19,104.02,188,35,1,2,14.08,607,529,14.42,6.07,13.91,15.15,1,1,64,1,0,3,3,37.5,13,1,2,3,0,0,0,0,0,0,1.5,1,1
21,1,21,1,1,19.02,6.5,25.52,238.24,36,1,2,13.26,605,697,16.04,20.65,62.2,171.44,1,1,35,1,0,2,2,87.5,1,1,2,2,0,0,0,0,1,0,1,1,1
21,2,21,2,0,24.12,6.5,30.62,119.12,36,1,2,13.26,605,697,16.04,20.65,62.2,171.44,1,1,35,1,0,2,2,87.5,1,1,2,2,0,0,0,0,1,0,1,1,1
21,3,21,3,0,26.12,6.5,32.62,68.07,36,1,2,13.26,605,697,16.04,20.65,62.2,171.44,1,1,35,1,0,2,2,87.5,1,1,2,2,0,0,0,0,1,0,1,1,1
21,4,21,4,0,21.8,32.8,54.6,150,36,1,2,13.26,605,697,16.04,20.65,62.2,171.44,1,1,35,1,0,2,2,87.5,1,1,2,2,0,0,0,0,1,0,1,1,1
22,1,22,1,0,23.44,2,25.44,162.72,39,1,2,18.18,607,525,14.42,6.07,10.28,5.41,1,0,35,1,1,2,3,42.5,3,1,1,2,1,0,0,0,0,0,2,3,1
22,2,22,2,0,28.54,2,30.54,81.36,39,1,2,18.18,607,525,14.42,6.07,10.28,5.41,1,0,35,1,1,2,3,42.5,3,1,1,2,1,0,0,0,0,0,2,3,1
22,3,22,3,1,30.54,2,32.54,46.49,39,1,2,18.18,607,525,14.42,6.07,10.28,5.41,1,0,35,1,1,2,3,42.5,3,1,1,2,1,0,0,0,0,0,2,3,1
23,1,23,1,1,12.62,2.5,15.12,59.99,41,2,2,6.24,634,639,265.33,1.15,28.08,16.92,1,0,33,1,1,4,3,55,3,0,2,2,1,0,0,0,1,0,2,1,1
23,2,23,2,0,17.62,2.5,20.12,30,41,2,2,6.24,634,639,265.33,1.15,28.08,16.92,1,0,33,1,1,4,3,55,3,0,2,2,1,0,0,0,1,0,2,1,1
23,3,23,3,0,19.62,2.5,22.12,17.14,41,2,2,6.24,634,639,265.33,1.15,28.08,16.92,1,0,33,1,1,4,3,55,3,0,2,2,1,0,0,0,1,0,2,1,1
23,4,23,4,0,17.83,41.14,58.97,100,41,2,2,6.24,634,639,265.33,1.15,28.08,16.92,1,0,33,1,1,4,3,55,3,0,2,2,1,0,0,0,1,0,2,1,1
23,5,23,5,0,34.4,2.5,36.9,0,41,2,2,6.24,634,639,265.33,1.15,28.08,16.92,1,0,33,1,1,4,3,55,3,0,2,2,1,0,0,0,1,0,2,1,1
24,1,24,1,1,23.7,5.5,29.2,302.05,42,8,2,17.38,625,733,18.48,18.12,75.14,61.6,1,0,38,1,1,3,8,37.5,12,1,4,6,0,1,1,0,0,0,0.75,1,1
24,2,24,2,0,28.7,5.5,34.2,151.02,42,8,2,17.38,625,733,18.48,18.12,75.14,61.6,1,0,38,1,1,3,8,37.5,12,1,4,6,0,1,1,0,0,0,0.75,1,1
24,3,24,3,0,30.7,5.5,36.2,86.3,42,8,2,17.38,625,733,18.48,18.12,75.14,61.6,1,0,38,1,1,3,8,37.5,12,1,4,6,0,1,1,0,0,0,0.75,1,1
24,4,24,4,0,31.83,26.46,58.29,150,42,8,2,17.38,625,733,18.48,18.12,75.14,61.6,1,0,38,1,1,3,8,37.5,12,1,4,6,0,1,1,0,0,0,0.75,1,1
25,1,25,1,1,7.42,2,9.42,28.17,43,1,2,2.79,624,622,24.46,16.05,10.83,8.02,1,1,25,1,1,4,2,87.5,1,1,2,2,0,0,0,0,0,0,2,1,1
25,2,25,2,0,12.42,2,14.42,14.08,43,1,2,2.79,624,622,24.46,16.05,10.83,8.02,1,1,25,1,1,4,2,87.5,1,1,2,2,0,0,0,0,0,0,2,1,1
25,3,25,3,0,14.42,2,16.42,8.05,43,1,2,2.79,624,622,24.46,16.05,10.83,8.02,1,1,25,1,1,4,2,87.5,1,1,2,2,0,0,0,0,0,0,2,1,1
25,4,25,4,0,9.53,17.6,27.13,100,43,1,2,2.79,624,622,24.46,16.05,10.83,8.02,1,1,25,1,1,4,2,87.5,1,1,2,2,0,0,0,0,0,0,2,1,1
25,6,25,6,0,0,0,57.8,0,43,1,2,2.79,624,622,24.46,16.05,10.83,8.02,1,1,25,1,1,4,2,87.5,1,1,2,2,0,0,0,0,0,0,2,1,1
26,1,26,1,1,8.62,2,10.62,37.15,44,1,2,3.77,633,622,10.13,13.14,10.83,8.02,1,1,32,1,0,1,1,22.5,7,1,1,1,0,0,0,0,0,0,1,1,1
26,2,26,2,0,13.62,2,15.62,18.57,44,1,2,3.77,633,622,10.13,13.14,10.83,8.02,1,1,32,1,0,1,1,22.5,7,1,1,1,0,0,0,0,0,0,1,1,1
26,3,26,3,0,15.62,2,17.62,10.61,44,1,2,3.77,633,622,10.13,13.14,10.83,8.02,1,1,32,1,0,1,1,22.5,7,1,1,1,0,0,0,0,0,0,1,1,1
26,4,26,4,0,13.52,37.24,50.76,100,44,1,2,3.77,633,622,10.13,13.14,10.83,8.02,1,1,32,1,0,1,1,22.5,7,1,1,1,0,0,0,0,0,0,1,1,1
26,5,26,5,0,21.3,2,23.3,0,44,1,2,3.77,633,622,10.13,13.14,10.83,8.02,1,1,32,1,0,1,1,22.5,7,1,1,1,0,0,0,0,0,0,1,1,1
26,6,26,6,0,0,0,77.4,0,44,1,2,3.77,633,622,10.13,13.14,10.83,8.02,1,1,32,1,0,1,1,22.5,7,1,1,1,0,0,0,0,0,0,1,1,1
27,1,27,1,1,15.8,3.5,19.3,108.39,46,1,2,12.03,625,688,18.48,18.12,25.63,70.73,1,1,58,1,0,2,2,55,1,1,2,2,0,0,0,0,1,0,1,1,1
27,2,27,2,0,20.8,3.5,24.3,54.19,46,1,2,12.03,625,688,18.48,18.12,25.63,70.73,1,1,58,1,0,2,2,55,1,1,2,2,0,0,0,0,1,0,1,1,1
27,3,27,3,0,22.8,3.5,26.3,30.97,46,1,2,12.03,625,688,18.48,18.12,25.63,70.73,1,1,58,1,0,2,2,55,1,1,2,2,0,0,0,0,1,0,1,1,1
27,4,27,4,0,32.61,21.9,54.51,154.8,46,1,2,12.03,625,688,18.48,18.12,25.63,70.73,1,1,58,1,0,2,2,55,1,1,2,2,0,0,0,0,1,0,1,1,1
28,1,28,1,0,17.7,2.5,20.2,122.78,46,2,2,13.78,625,711,18.48,18.12,29.08,29.81,1,0,60,1,0,2,2,55,1,1,2,2,0,0,0,0,1,0,1,2,1
28,2,28,2,1,22.7,2.5,25.2,61.39,46,2,2,13.78,625,711,18.48,18.12,29.08,29.81,1,0,60,1,0,2,2,55,1,1,2,2,0,0,0,0,1,0,1,2,1
28,3,28,3,0,24.7,2.5,27.2,35.08,46,2,2,13.78,625,711,18.48,18.12,29.08,29.81,1,0,60,1,0,2,2,55,1,1,2,2,0,0,0,0,1,0,1,2,1
28,4,28,4,0,27.92,31.08,59,160,46,2,2,13.78,625,711,18.48,18.12,29.08,29.81,1,0,60,1,0,2,2,55,1,1,2,2,0,0,0,0,1,0,1,2,1
29,1,29,1,1,20,2,22,120.07,49,1,2,13.37,567,611,15.15,3.56,14.03,16.86,1,0,27,1,0,2,5,37.5,3,0,1,2,2,1,0,0,0,0,2,1,1
29,2,29,2,0,25,2,27,60.04,49,1,2,13.37,567,611,15.15,3.56,14.03,16.86,1,0,27,1,0,2,5,37.5,3,0,1,2,2,1,0,0,0,0,2,1,1
29,3,29,3,0,27,2,29,34.31,49,1,2,13.37,567,611,15.15,3.56,14.03,16.86,1,0,27,1,0,2,5,37.5,3,0,1,2,2,1,0,0,0,0,2,1,1
29,4,29,4,0,38.36,51.18,89.54,130,49,1,2,13.37,567,611,15.15,3.56,14.03,16.86,1,0,27,1,0,2,5,37.5,3,0,1,2,2,1,0,0,0,0,2,1,1
30,1,30,1,1,4.8,2,6.8,10.2,51,1,2,0.77,605,605,16.04,20.65,16.04,20.65,1,0,39,1,1,2,2,32.5,11,0,2,2,0,0,0,0,0,0,1,1,1
30,2,30,2,0,9.8,2,11.8,5.1,51,1,2,0.77,605,605,16.04,20.65,16.04,20.65,1,0,39,1,1,2,2,32.5,11,0,2,2,0,0,0,0,0,0,1,1,1
30,3,30,3,0,11.8,2,13.8,2.91,51,1,2,0.77,605,605,16.04,20.65,16.04,20.65,1,0,39,1,1,2,2,32.5,11,0,2,2,0,0,0,0,0,0,1,1,1
30,4,30,4,0,2.47,14.87,17.34,100,51,1,2,0.77,605,605,16.04,20.65,16.04,20.65,1,0,39,1,1,2,2,32.5,11,0,2,2,0,0,0,0,0,0,1,1,1
30,6,30,6,0,0,0,17.4,0,51,1,2,0.77,605,605,16.04,20.65,16.04,20.65,1,0,39,1,1,2,2,32.5,11,0,2,2,0,0,0,0,0,0,1,1,1
31,1,31,1,1,30.18,2.5,32.68,196.03,58,2,2,21.92,608,746,15.98,6.97,37.35,16.84,1,0,53,1,1,4,3,67.5,3,1,3,3,0,0,0,0,0,0,1.33,1,1
31,2,31,2,0,35.28,2.5,37.78,98.01,58,2,2,21.92,608,746,15.98,6.97,37.35,16.84,1,0,53,1,1,4,3,67.5,3,1,3,3,0,0,0,0,0,0,1.33,1,1
31,3,31,3,0,37.28,2.5,39.78,56.01,58,2,2,21.92,608,746,15.98,6.97,37.35,16.84,1,0,53,1,1,4,3,67.5,3,1,3,3,0,0,0,0,0,0,1.33,1,1
31,4,31,4,0,54.34,40.36,94.7,210,58,2,2,21.92,608,746,15.98,6.97,37.35,16.84,1,0,53,1,1,4,3,67.5,3,1,3,3,0,0,0,0,0,0,1.33,1,1
32,1,32,1,1,10.12,3.5,13.62,46.91,58,3,2,4.99,608,598,15.98,6.97,21.02,24.36,1,1,54,1,1,4,3,67.5,3,1,3,3,0,0,0,0,0,0,1.33,1,1
